run_number,source_period,target,beam_type,group,classification_source,source_file,quality_status,reason_codes,nonzero_unmapped_strip_count,negative_net_bin_count,brem_reference_sum,brem_period_median,brem_ratio
1481,1998_uv,P,UV,P_UV,manual,1998_uv/run1481.root,good,,0,0,238780.564,256270.619,0.9317516183936794
1482,1998_uv,P,UV,P_UV,manual,1998_uv/run1482.root,bad,brem_period_outlier,0,0,1228016949.0,256270.619,4791.875689034801
1485,1998_uv,P,UV,P_UV,manual,1998_uv/run1485.root,good,,0,0,181900.029,256270.619,0.7097966583520057
1486,1998_uv,P,UV,P_UV,manual,1998_uv/run1486.root,good,,0,0,481447.82300000003,256270.619,1.8786696066785558
1487,1998_uv,P,UV,P_UV,manual,1998_uv/run1487.root,good,,0,0,308871.47500000003,256270.619,1.2052551174428623
1488,1998_uv,P,UV,P_UV,manual,1998_uv/run1488.root,good,,0,0,170360.431,256270.619,0.6647677040183838
1489,1998_uv,P,UV,P_UV,manual,1998_uv/run1489.root,good,,0,0,624533.319,256270.619,2.437007103806933
1490,1998_uv,P,UV,P_UV,manual,1998_uv/run1490.root,good,,0,0,776224.4180000001,256270.619,3.0289247399055137
1491,1998_uv,P,UV,P_UV,manual,1998_uv/run1491.root,good,,0,0,532006.124,256270.619,2.0759544191056873
1492,1998_uv,P,UV,P_UV,manual,1998_uv/run1492.root,good,,0,0,153896.587,256270.619,0.6005237260538243
1493,1998_uv,P,UV,P_UV,manual,1998_uv/run1493.root,good,,0,0,715819.67,256270.619,2.793217860062218
1494,1998_uv,P,UV,P_UV,manual,1998_uv/run1494.root,good,,0,0,474514.357,256270.619,1.8516143553701723
1496,1998_uv,P,UV,P_UV,manual,1998_uv/run1496.root,good,,0,0,426785.78500000003,256270.619,1.6653714993368007
1497,1998_uv,P,UV,P_UV,manual,1998_uv/run1497.root,good,,0,0,446645.065,256270.619,1.7428648931464126
1498,1998_uv,P,UV,P_UV,manual,1998_uv/run1498.root,good,,0,0,899426.892,256270.619,3.5096761989715253
1499,1998_uv,P,UV,P_UV,manual,1998_uv/run1499.root,good,,0,0,994468.758,256270.619,3.8805414443549613
1500,1998_uv,P,UV,P_UV,manual,1998_uv/run1500.root,good,,0,0,441614.732,256270.619,1.7232359047761148
1501,1998_uv,P,UV,P_UV,manual,1998_uv/run1501.root,good,,0,0,745813.814,256270.619,2.9102587604863124
1502,1998_uv,P,UV,P_UV,manual,1998_uv/run1502.root,good,,0,0,397379.374,256270.619,1.5506240065701797
1503,1998_uv,P,UV,P_UV,manual,1998_uv/run1503.root,good,,0,0,246309.42599999998,256270.619,0.961130179343735
1504,1998_uv,P,UV,P_UV,manual,1998_uv/run1504.root,good,,0,0,379191.731,256270.619,1.4796535493598664
1505,1998_uv,P,UV,P_UV,manual,1998_uv/run1505.root,good,,0,0,62676.031,256270.619,0.2445697101156961
1506,1998_uv,P,UV,P_UV,manual,1998_uv/run1506.root,good,,0,0,638410.962,256270.619,2.491159402085028
1507,1998_uv,P,UV,P_UV,manual,1998_uv/run1507.root,good,,0,0,544740.577,256270.619,2.125645847056701
1508,1998_uv,P,UV,P_UV,manual,1998_uv/run1508.root,good,,0,0,455571.515,256270.619,1.7776970172300555
1509,1998_uv,P,UV,P_UV,manual,1998_uv/run1509.root,bad,missing_h80;nonzero_flux_without_lookup;run_flux_conservation_failure,126,0,,256270.619,
1510,1998_uv,P,UV,P_UV,manual,1998_uv/run1510.root,good,,0,0,935778.417,256270.619,3.6515243949990226
1511,1998_uv,P,UV,P_UV,manual,1998_uv/run1511.root,good,,0,0,618413.673,256270.619,2.413127479900456
1512,1998_uv,P,UV,P_UV,manual,1998_uv/run1512.root,good,,0,0,526350.393,256270.619,2.0538850495381995
1513,1998_uv,P,UV,P_UV,manual,1998_uv/run1513.root,good,,0,0,416639.277,256270.619,1.625778556378326
1514,1998_uv,P,UV,P_UV,manual,1998_uv/run1514.root,good,,0,0,609750.849,256270.619,2.379324057433209
1515,1998_uv,P,UV,P_UV,manual,1998_uv/run1515.root,good,,0,0,658452.844,256270.619,2.56936533173161
